"","bundesland","M08","M10","M14","M17"
"1","Schleswig-Holstein",2020-03-15,2020-03-12,NA,NA
"2","Hamburg",2020-03-15,2020-03-15,NA,2021-01-11
"3","Niedersachsen",2020-03-17,2020-03-17,NA,NA
"4","Nordrhein-Westfalen",2020-03-16,2020-03-16,NA,2020-04-20
"5","Hessen",2020-03-18,2020-03-18,NA,NA
"6","Rheinland-Pfalz",2020-03-17,2020-03-17,2020-03-20,NA
"7","Baden-Württemberg",2020-03-16,2020-03-16,2020-03-21,2021-06-07
"8","Freistaat Bayern",2020-03-21,2020-03-25,2021-01-13,2021-02-19
"9","Saarland",2020-03-18,2020-03-13,NA,2020-06-05
"10","Berlin",2020-03-17,2020-03-17,NA,2020-12-16
"11","Brandenburg",2020-03-23,2020-03-23,NA,2021-01-23
"12","Mecklenburg-Vorpommern",2020-03-17,2020-03-17,NA,2021-06-26
"13","Sachsen",2020-03-22,2020-03-22,NA,2020-03-18
"14","Sachsen-Anhalt",2020-03-18,2020-03-18,2020-03-25,2021-09-14
"15","Thüringen",2020-03-27,2020-03-27,2021-01-11,2020-03-25
"16","Bremen",2020-03-20,2020-03-20,2020-05-13,2020-07-02
